𨁪隔	dấu cách
成立	thành lập
公司	công ty
代理	đại lý
版權	bản quyền
名冊	danh sách
𠓨	vào
𢆥	năm
𪜀	là
如	như
𢖖	sau
越南	Việt Nam
集	tập
免費	miễn phí
日本	Nhật Bản
城庯	thành phố
胡志明	Hồ Chí Minh
産出	sản xuất
在	tại
産品	sản phẩm
𧵑	của
勃麵	bột mì
成分	thành phần
碼	mã
格	cách
用	dùng
𪉥	muối
𪉥𫗒	muối ăn
糖	đường
包皮	bao bì
通信	thông tin
出口	xuất khẩu
𨑗	trên
𡈉	nước
感恩	cảm ơn
貴客	quý khách
使用	sử dụng
高	cao
芹西	cần tây
𣎏	có
向引	hướng dẫn
香味	hương vị
實事	thật sự
獨到	độc đáo
𠊛	người
韓國	Hàn Quốc
工藝	công nghệ
地址	địa chỉ
電話	điện thoại
保管	bảo quản
警報	cảnh báo
守德	Thủ Đức
印	in
出處	xuất xứ
遊歷	du lịch
𫜵役	làm việc
塘	đường
數	số
新富	Tân Phú
國路	quốc lộ
坊	phường
郡	quận
社	xã
安全	an toàn
衛生	vệ sinh
留意	lưu ý
縣	huyện
周富	Châu Phú
省	tỉnh
安江	An Giang
形影	hình ảnh
得	được
扶寧	Phù Ninh
富壽	Phú Thọ
美德	Mỹ Đức
靈中	Linh Trung
隆盛美	Long Thạnh Mỹ
西盛	Tây Thạnh
油	dầu
植物	thực vật
𣈜	ngày
限	hạn
海陽	Hải Dương
錦江	Cẩm Giàng
新場	Tân Trường
𣎃	tháng
方法	phương pháp
翻版	phiên bản
車	xe
䀡	xem
𢭯	quét
㐌	đã
共	cùng
高級	cao cấp
𤍇	nấu
𥪝	trong
丿	phút
區舖	khu phố
區	khu
伴	bạn
實	thật
絶	tuyệt
𠫾	đi
學	học
自	từ
空	không
過	quá
各	các
原料	nguyên liệu
	cho
	để
	và
加味	gia vị
渃	nước
蔞	rau
蘢𤅶	rong biển
枯	khô
移動	di động
生員	sinh viên
時間	thời gian
規定	quy định
學習	học tập
中心	trung tâm
只	chỉ
執行	chấp hành
嚴	nghiêm
𦤾	đến
次	thứ
𣇞	giờ
主日	chủ nhật
注意	chú ý
嚴禁	nghiêm cấm
唿𫇿	hút thuốc
教育	giáo dục
國防	quốc phòng
禁	cấm
大學	đại học
國家	quốc gia
河内	Hà Nội
影	ảnh
書院	thư viện
信息	tin tức
事件	sự kiện
村	thôn
石室	Thạch Thất
石和	Thạch Hòa
景觀	cảnh quan
活動	hoạt động
學生	học sinh
傳統	truyền thống
焦點	tiêu điểm
碼數	mã số
入	nhập
保衛	bảo vệ
查究	tra cứu
點數	điểm số
點	điểm
全景	toàn cảnh
參加	tham gia
主義	chủ nghĩa
紀念	kỷ niệm
國慶	quốc khánh
獨立	độc lập
自由	tự do
幸福	hạnh phúc
𨷈𢆥	muôn năm
大會	đại hội
代表	đại biểu
全体	toàn thể
員職	viên trức
女	nữ
價值	giá trị
